#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A29FCF
#Date Time: 2022-04-06 19:20:10.910
#Sample rate: 4e+06Hz
#Samples: 4096

Time (s),Bus,nRESET,MODE,nCSW,nCSR,nINT
-0.00015175,b11000000,1,0,1,1,1
-0.0001515,b11000000,1,0,1,1,1
-0.00015125,b11000000,1,0,1,1,1
-0.000151,b11000000,1,0,1,1,1
-0.00015075,b11000000,1,0,1,1,1
-0.0001505,b11000000,1,0,1,1,1
-0.00015025,b11000000,1,0,1,1,1
-0.00015,b11000000,1,0,1,1,1
-0.00014975,b11000000,1,0,1,1,1
-0.0001495,b11000000,1,0,1,1,1
-0.00014925,b11000000,1,0,1,1,1
-0.000149,b11000000,1,0,1,1,1
-0.00014875,b11000000,1,0,1,1,1
-0.0001485,b11000000,1,0,1,1,1
-0.00014825,b11000000,1,0,1,1,1
-0.000148,b11000000,1,0,1,1,1
-0.00014775,b11000000,1,0,1,1,1
-0.0001475,b11000000,1,0,1,1,1
-0.00014725,b11000000,1,0,1,1,1
-0.000147,b11000000,1,0,1,1,1
-0.00014675,b11000000,1,0,1,1,1
-0.0001465,b11000000,1,0,1,1,1
-0.00014625,b11000000,1,0,1,1,1
-0.000146,b11000000,1,0,1,1,1
-0.00014575,b11000000,1,0,1,1,1
-0.0001455,b11000000,1,0,1,1,1
-0.00014525,b11000000,1,0,1,1,1
-0.000145,b11000000,1,0,1,1,1
-0.00014475,b11000000,1,0,1,1,1
-0.0001445,b11000000,1,0,1,1,1
-0.00014425,b11000000,1,0,1,1,1
-0.000144,b11000000,1,0,1,1,1
-0.00014375,b11000000,1,0,1,1,1
-0.0001435,b11000000,1,0,1,1,1
-0.00014325,b11000000,1,0,1,1,1
-0.000143,b11000000,1,0,1,1,1
-0.00014275,b11000000,1,0,1,1,1
-0.0001425,b11000000,1,0,1,1,1
-0.00014225,b11000000,1,0,1,1,1
-0.000142,b11000000,1,0,1,1,1
-0.00014175,b11000000,1,0,1,1,1
-0.0001415,b11000000,1,0,1,1,1
-0.00014125,b11000000,1,0,1,1,1
-0.000141,b11000000,1,0,1,1,1
-0.00014075,b11000000,1,0,1,1,1
-0.0001405,b11000000,1,0,1,1,1
-0.00014025,b11000000,1,0,1,1,1
-0.00014,b11000000,1,0,1,1,1
-0.00013975,b11000000,1,0,1,1,1
-0.0001395,b11000000,1,0,1,1,1
-0.00013925,b11000000,1,0,1,1,1
-0.000139,b11000000,1,0,1,1,1
-0.00013875,b11000000,1,0,1,1,1
-0.0001385,b11000000,1,0,1,1,1
-0.00013825,b11000000,1,0,1,1,1
-0.000138,b11000000,1,0,1,1,1
-0.00013775,b11000000,1,0,1,1,1
-0.0001375,b11000000,1,0,1,1,1
-0.00013725,b11000000,1,0,1,1,1
-0.000137,b11000000,1,0,1,1,1
-0.00013675,b11000000,1,0,1,1,1
-0.0001365,b11000000,1,0,1,1,1
-0.00013625,b11000000,1,0,1,1,1
-0.000136,b11000000,1,0,1,1,1
-0.00013575,b11000000,1,0,1,1,1
-0.0001355,b11000000,1,0,1,1,1
-0.00013525,b11000000,1,0,1,1,1
-0.000135,b11000000,1,0,1,1,1
-0.00013475,b11000000,1,0,1,1,1
-0.0001345,b11000000,1,0,1,1,1
-0.00013425,b11000000,1,0,1,1,1
-0.000134,b11000000,1,0,1,1,1
-0.00013375,b11000000,1,0,1,1,1
-0.0001335,b11000000,1,0,1,1,1
-0.00013325,b11000000,1,0,1,1,1
-0.000133,b11000000,1,0,1,1,1
-0.00013275,b11000000,1,0,1,1,1
-0.0001325,b11000000,1,0,1,1,1
-0.00013225,b11000000,1,0,1,1,1
-0.000132,b11000000,1,0,1,1,1
-0.00013175,b11000000,1,0,1,1,1
-0.0001315,b11000000,1,0,1,1,1
-0.00013125,b11000000,1,0,1,1,1
-0.000131,b11000000,1,0,1,1,1
-0.00013075,b11000000,1,0,1,1,1
-0.0001305,b11000000,1,0,1,1,1
-0.00013025,b11000000,1,0,1,1,1
-0.00013,b11000000,1,0,1,1,1
-0.00012975,b11000000,1,0,1,1,1
-0.0001295,b11000000,1,0,1,1,1
-0.00012925,b11000000,1,0,1,1,1
-0.000129,b11000000,1,0,1,1,1
-0.00012875,b11000000,1,0,1,1,1
-0.0001285,b11000000,1,1,1,1,1
